Ticker,Năm,1. Doanh thu bán hàng và cung cấp dịch vụ,2. Các khoản giảm trừ doanh thu,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),4. Giá vốn hàng bán,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),6. Doanh thu hoạt động tài chính,7. Chi phí tài chính,- Trong đó: Chi phí lãi vay,"8. Phần lãi lỗ trong công ty liên doanh, liên kết",9. Chi phí bán hàng,10. Chi phí quản lý doanh nghiệp,11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},12. Thu nhập khác,13. Chi phí khác,14. Lợi nhuận khác(40=31-32),15. Tổng lợi nhuận kế toán trước thuế(50=30+40),16. Chi phí thuế TNDN hiện hành,17. Chi phí thuế TNDN hoãn lại,18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),19. Lợi nhuận sau thuế công ty mẹ,20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,21. Lãi cơ bản trên cổ phiếu(*),22. Lãi suy giảm trên cổ phiếu (*)
ABS,2014.0,,,,,,,,,,,,,,,,,,,,,,,
ABS,2015.0,,,,,,,,,,,,,,,,,,,,,,,
ABS,2016.0,,,,,,,,,,,,,,,,,,,,,,,
ABS,2017.0,563967836152.0,,563967836152.0,530066465308.0,33901370844.0,27699190277.0,8861744342.0,8696885342.0,,9097182595.0,7420244620.0,36221389564.0,1251138785.0,959819026.0,291319759.0,36512709323.0,7407919305.0,,29104790018.0,29104790018.0,,1011.0,
ABS,2018.0,472413878399.0,,472413878399.0,446385966315.0,26027912084.0,39434644913.0,9713972951.0,9524674284.0,,10959634569.0,7373605002.0,37415344475.0,463909391.0,487700346.0,-23790955.0,37391553520.0,7817085816.0,,29574467704.0,29574467704.0,,1027.0,
ABS,2019.0,790964126368.0,395700000.0,790568426368.0,736784556224.0,53783870144.0,15528982093.0,10381145211.0,10200186961.0,,8923699991.0,6854253251.0,43153753784.0,447402377.0,1272599935.0,-825197558.0,42328556226.0,9307378692.0,,33021177534.0,33021177534.0,,1147.0,
ABS,2020.0,1103996073104.0,32642447.0,1103963430657.0,1019980066851.0,83983363806.0,339707902.0,8135932745.0,8135932745.0,,8044270063.0,9014558649.0,59128310251.0,1522132638.0,503722134.0,1018410504.0,60146720755.0,12237053281.0,,47909667474.0,47909667474.0,,1280.0,599.0
ABS,2021.0,1198699189061.0,47120000.0,1198652069061.0,1140220607026.0,58431462035.0,72853683993.0,33498921727.0,33363592601.0,,6787143285.0,8972183476.0,82026897540.0,1660019192.0,1698162837.0,-38143645.0,81988753895.0,16636808275.0,,65351945620.0,65351945620.0,,788.0,788.0
ABT,2005.0,288744450711.0,6311761489.0,282432689222.0,247786818371.0,34645870851.0,1295849437.0,3444343547.0,3444343547.0,,21822908676.0,2826777470.0,7517595857.0,1030255366.0,737050549.0,293204817.0,7810800674.0,,,7810800674.0,7810800674.0,,2341.0,
ABT,2006.0,331377066120.0,162461678.0,331214604442.0,273026795778.0,58187808664.0,1739391790.0,3776797137.0,3776797137.0,,27404549235.0,4156259072.0,24234980032.0,1080847888.0,258338643.0,822509245.0,25057489277.0,,,25057489277.0,25057489277.0,,8623.0,
ABT,2007.0,431521358791.0,1815784778.0,429705574013.0,360658042044.0,69047531969.0,17070737880.0,3915521135.0,3915521135.0,,33403095955.0,3247374670.0,42716427080.0,2049757615.0,1254411520.0,795346095.0,44182666175.0,4293407633.0,,39889258542.0,39869562279.0,,8018.0,
ABT,2008.0,473427696297.0,,473427696297.0,350384420210.0,123043276087.0,22447286087.0,4634818959.0,4634818959.0,,37676390162.0,4595633213.0,21921925490.0,2836187366.0,626176823.0,2210010543.0,24131936033.0,1546167500.0,,22585768533.0,22585768533.0,,3092.0,
ABT,2009.0,544094049870.0,175259392.0,543918790478.0,442601440341.0,101317350137.0,36606101661.0,1905165741.0,1905165741.0,,30665905887.0,6686006303.0,100278481583.0,3125296156.0,1157261828.0,1968034328.0,102246515911.0,11312231476.0,,90934284435.0,90934284435.0,,11850.0,
ABT,2010.0,685575058551.0,382770948.0,685192287603.0,563064819777.0,122127467826.0,49623005705.0,1640068432.0,1640068432.0,,37804826785.0,10109933376.0,104871778409.0,2819616240.0,855974079.0,1963642161.0,106835420570.0,12958458727.0,,93876961843.0,93876961843.0,,8079.0,
ABT,2011.0,662822051719.0,,662822051719.0,500891865561.0,161930186158.0,43733696390.0,6970898077.0,6970898077.0,,29230254335.0,6893213187.0,104940243016.0,3047761518.0,1186680270.0,1861081248.0,106801324264.0,7018481477.0,,99782842787.0,99782842787.0,,8014.0,
ABT,2012.0,636358668040.0,2178349210.0,634180318830.0,522022652948.0,112157665882.0,33245990353.0,4017743458.0,4017743458.0,,30595616463.0,8373525713.0,82749391667.0,3728896021.0,403781209.0,3325114812.0,86074506479.0,6961632589.0,,79112873890.0,79112873890.0,,7181.0,
ABT,2013.0,542857498219.0,8323082748.0,534534415471.0,432095731935.0,102438683536.0,29571503857.0,4088067701.0,4088067701.0,,32289809700.0,9438934946.0,83942230773.0,3344705887.0,862396368.0,2482309519.0,86424540292.0,12495658290.0,,73928882002.0,73928882002.0,,6540.0,
ABT,2014.0,450177456492.0,1316656880.0,448860799612.0,347983559439.0,100877240173.0,31278069363.0,4067918704.0,4067918704.0,,26973715162.0,17614515316.0,87256080413.0,3733497747.0,551509696.0,3181988051.0,90438068464.0,14457372213.0,-1524743715.0,77505439966.0,77505439966.0,,6740.0,
ABT,2015.0,,,,,,,,,,,,,,,,,,,,,,,
